#LCMV Arm
#3-10
     gene log2FoldChange       pvalue pvalue_adj  label
1   Cd27     -0.3480057 9.763371e-53 3.152104e-48   Cd27
2 Cx3cr1      0.7857705 7.888059e-09 2.546660e-04 Cx3cr1
3  Klrg1      0.5743795 5.426396e-04 1.000000e+00  Klrg1
4  Tbx21      0.3208181 2.565007e-03 1.000000e+00  Tbx21
5   Il7r      0.5092757 1.576105e-02 1.000000e+00   Il7r
6   Tcf7      1.0588506 6.098654e-02 1.000000e+00   Tcf7


#3-7
   gene log2FoldChange       pvalue   pvalue_adj label
1 Tbx21     -0.1481397 1.649682e-15 5.325998e-11 Tbx21
2  Cd27      0.8574382 9.193391e-11 2.968086e-06  Cd27
3  Tcf7      1.8540426 1.164611e-09 3.759946e-05  Tcf7
4  Il7r      1.5447013 1.377246e-04 1.000000e+00  Il7r



#1-0
    gene log2FoldChange       pvalue   pvalue_adj  label
1 Cx3cr1     -0.2957349 9.854385e-62 3.181488e-57 Cx3cr1
2   Il7r     -0.4567736 1.652088e-22 5.333766e-18   Il7r
3  Tbx21      0.2732096 7.155160e-06 2.310043e-01  Tbx21
4   Cd27      0.9617131 1.206864e-05 3.896359e-01   Cd27
5   Tcf7      0.3289406 1.088153e-02 1.000000e+00   Tcf7


#0-2
    gene log2FoldChange        pvalue    pvalue_adj  label
1   Il7r     -1.6278424 4.097704e-146 1.322944e-141   Il7r
2  Klrg1      0.7841235  1.098055e-80  3.545071e-76  Klrg1
3   Tcf7     -0.7583304  1.703553e-33  5.499921e-29   Tcf7
4 Cx3cr1      0.2984793  4.612826e-13  1.489251e-08 Cx3cr1
5   Cd27     -0.1876982  5.050031e-08  1.630403e-03   Cd27


#2-5
    gene log2FoldChange        pvalue    pvalue_adj  label
1   Il7r     -2.0453501 1.000000e-300 1.000000e-300   Il7r
2 Cx3cr1      2.5266468 8.736510e-299 2.820582e-294 Cx3cr1
3  Klrg1      2.3320070 7.248412e-200 2.340150e-195  Klrg1
4   Tcf7     -1.1195697 8.083556e-110 2.609776e-105   Tcf7
5   Cd27     -0.9959225  1.465143e-79  4.730215e-75   Cd27
6  Tbx21      0.7934518  6.213596e-44  2.006059e-39  Tbx21
7   Ccr7     -3.2255869  1.555659e-25  5.022445e-21   Ccr7


#1-5
    gene log2FoldChange        pvalue    pvalue_adj  label
1   Il7r     -4.1299661 1.000000e-300 1.000000e-300   Il7r
2   Tcf7     -1.5489595 1.339320e-270 4.323996e-266   Tcf7
3  Klrg1      3.1653475 1.174183e-164 3.790848e-160  Klrg1
4 Cx3cr1      2.5293912  5.955543e-86  1.922747e-81 Cx3cr1
5   Cd27     -0.2219076  5.564244e-85  1.796416e-80   Cd27
6   Ccr7     -1.8512421  8.816453e-23  2.846392e-18   Ccr7
7  Tbx21      1.1184181  3.319993e-03  1.000000e+00  Tbx21


#0-3
    gene log2FoldChange        pvalue    pvalue_adj  label
1 Cx3cr1      1.0815054 3.940088e-133 1.272058e-128 Cx3cr1
2   Cd27     -1.3097188  2.223007e-99  7.176979e-95   Cd27
3  Klrg1      0.5251625  1.604210e-43  5.179191e-39  Klrg1
4   Il7r      0.9660494  1.691084e-12  5.459663e-08   Il7r
5   Tcf7      0.7299101  3.813710e-06  1.231256e-01   Tcf7

#7-5
    gene log2FoldChange        pvalue    pvalue_adj  label
1   Il7r     -6.1839431 1.000000e-300 1.000000e-300   Il7r
2  Klrg1      2.5889718 3.082103e-261 9.950569e-257  Klrg1
3   Tcf7     -4.4618527 3.077569e-233 9.935931e-229   Tcf7
4 Cx3cr1      1.7651296 5.472299e-106 1.766732e-101 Cx3cr1
5  Tbx21      0.9457397  1.455947e-64  4.700523e-60  Tbx21
6   Cd27     -0.7313401  6.475749e-22  2.090696e-17   Cd27
7   Ccr7     -3.0843778  7.641993e-12  2.467217e-07   Ccr7

#7-2
    gene log2FoldChange        pvalue    pvalue_adj  label
1   Il7r     -4.1385930 1.064139e-149 3.435572e-145   Il7r
2   Tcf7     -3.3422830  9.048723e-68  2.921380e-63   Tcf7
3 Cx3cr1     -0.7615172  2.314574e-47  7.472603e-43 Cx3cr1
4   Cd27      0.2645824  3.245353e-16  1.047762e-11   Cd27
5  Klrg1      0.2569648  2.120449e-12  6.845869e-08  Klrg1
6  Tbx21      0.1522879  2.761248e-07  8.914689e-03  Tbx21
#7-0
    gene log2FoldChange       pvalue   pvalue_adj  label
1 Cx3cr1     -1.0599965 2.469011e-72 7.971201e-68 Cx3cr1
2   Cd27      0.4522806 2.257855e-42 7.289486e-38   Cd27
3   Tcf7     -2.5839526 2.531962e-21 8.174440e-17   Tcf7
4   Il7r     -2.5107507 1.530079e-20 4.939861e-16   Il7r
5  Klrg1     -0.5271587 1.312910e-16 4.238729e-12  Klrg1
6  Tbx21      0.1005312 1.487440e-10 4.802199e-06  Tbx21
#3-0
    gene log2FoldChange        pvalue    pvalue_adj  label
1 Cx3cr1     -1.0815054 3.940088e-133 1.272058e-128 Cx3cr1
2   Cd27      1.3097188  2.223007e-99  7.176979e-95   Cd27
3  Klrg1     -0.5251625  1.604210e-43  5.179191e-39  Klrg1
4   Il7r     -0.9660494  1.691084e-12  5.459663e-08   Il7r
5   Tcf7     -0.7299101  3.813710e-06  1.231256e-01   Tcf7
#5-0
    gene log2FoldChange        pvalue    pvalue_adj  label
1   Il7r      3.6731925 1.000000e-300 1.000000e-300   Il7r
2  Klrg1     -3.1161305 1.000000e-300 1.000000e-300  Klrg1
3 Cx3cr1     -2.8251261 1.000000e-300 1.000000e-300 Cx3cr1
4   Tcf7      1.8779001 1.028617e-255 3.320888e-251   Tcf7
5   Cd27      1.1836207 3.304702e-132 1.066923e-127   Cd27
6   Ccr7      4.4286616  3.448673e-34  1.113404e-29   Ccr7
7  Tbx21     -0.8452085  4.972369e-34  1.605329e-29  Tbx21

#1-7
    gene log2FoldChange       pvalue   pvalue_adj  label
1  Tbx21      0.1726784 1.200577e-35 3.876062e-31  Tbx21
2   Cd27      0.5094325 1.056521e-23 3.410978e-19   Cd27
3   Tcf7      2.9128932 2.590560e-13 8.363623e-09   Tcf7
4  Klrg1      0.5763758 6.331095e-04 1.000000e+00  Klrg1
5   Il7r      2.0539770 7.167410e-02 1.000000e+00   Il7r
6 Cx3cr1      0.7642617 2.925572e-01 1.000000e+00 Cx3cr1

#6-1,3
    gene log2FoldChange        pvalue    pvalue_adj  label
1  Klrg1     -6.0001170 1.629851e-278 5.261974e-274  Klrg1
2 Cx3cr1     -2.7798692  7.258006e-91  2.343247e-86 Cx3cr1
3   Cd27      0.1520495  4.616927e-87  1.490575e-82   Cd27
4   Tcf7     -2.4176305  5.996284e-11  1.935900e-06   Tcf7
5  Tbx21     -1.1560112  8.554489e-07  2.761817e-02  Tbx21
6   Il7r     -0.7677168  1.091572e-03  1.000000e+00   Il7r
#####
#3-6
h
    gene log2FoldChange        pvalue    pvalue_adj  label
1  Klrg1      5.6535912 1.606679e-277 5.187164e-273  Klrg1
2  Pdcd1     -2.3441629 3.913869e-200 1.263593e-195  Pdcd1
